condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Number of Protein Molecules,Rate of Change of Protein Molecules per Second,Translation Rate aa_s,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
ThTr_1p25nM-RT,Rep1,0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,0.0,0.0013888603725075,0.0015260996824755,3.750429944190472e-08,1.1188278723460285e-07,1.0,1.2965696916607525e-06,1.209423372378e-07,1.4350087368328692e-05,10.25934483615963,2.015212646353454e-06,-1.167915233754663e-05,67.65243570115648,0.0004131802391281,0.0,1.7135927842633624e-19,1.7135927842633624e-19,0.0,0.0
ThTr_1p25nM-RT,Rep1,216,3.6,0.06,0.2838320732116699,0.0090570521464794,0.1316431998034843,157971839.76417646,,0.5582832900910958,8,8.0,0.0013892108738962,0.0015401549438009,3.249612073285554e-08,9.047914254165221e-08,1.0,-5.136579832247365e-06,1.0189921728698582e-07,-1.0322916377755918e-05,10.37672860647032,-3.920821148021737e-06,1.1626510383373656e-05,62.8150700178088,0.0004079022351982,2.3961687246731887e-05,1.2481291365826742e-19,1.3501115951287449e-18,3.6,0.06
ThTr_1p25nM-RT,Rep1,432,7.2,0.12,0.438521146774292,0.0139931645100124,0.2033890190408769,244066822.8490539,,0.4312744254471549,16,16.0,0.0013913271983542,0.0015471063631867,2.650459564742835e-08,8.111533020061135e-08,1.0,-2.534758051281852e-06,8.879469170885429e-08,-4.915345413112791e-06,19.98277619437713,9.260481945532033e-08,7.97364403799882e-06,61.70688017756059,0.0004028325107926,4.475663101213789e-05,9.717509561535362e-20,2.265325286957768e-18,7.2,0.12
ThTr_1p25nM-RT,Rep1,648,10.8,0.18,0.9253489971160888,0.0295277909425091,0.4291830078853067,515019609.4623685,,0.6067048457524838,24,24.0,0.0013883647292166,0.0015516300338927,2.5389699232464322e-08,5.323078942841509e-08,1.0,1.0734237755630532e-06,6.538439292451043e-08,-7.320100420184989e-07,14.976812048404213,2.4403666985433844e-06,4.818644963164e-06,46.06392798235958,0.0003982620738813,6.30241690060334e-05,5.390639451765222e-20,3.001877085514316e-18,10.8,0.18
ThTr_1p25nM-RT,Rep1,864,14.4,0.24,1.0117759704589844,0.032285666737065,0.4692684118759445,563122094.2511339,,0.4975280024130035,32,32.0,0.0013900521612971,0.0015528967510229,1.787307858864974e-08,5.2294728780163626e-08,1.0,-8.684300078209381e-07,5.9076574503230265e-08,-4.569251193224039e-06,17.411344745637493,6.148539003686402e-07,5.883951955359764e-06,58.605288139018754,0.0003936901874244,7.771759412724914e-05,4.503513049707634e-20,3.481010885950034e-18,14.4,0.24
ThTr_1p25nM-RT,Rep1,1080,18.0,0.3,1.3439068794250488,0.0428839297449243,0.6233129323390187,747975518.8068208,,0.5286793319245271,40,40.0,0.0013910744835466,0.0015552796765118,2.0047440826475152e-08,3.243014935285076e-08,1.0,-7.750282818631531e-07,4.263930514467563e-08,-1.7943251262719982e-06,17.221300317135416,9.189794706309268e-07,3.7683264460167433e-06,46.4292114378055,0.0003897644266558,8.834365159064937e-05,2.3935683584330104e-20,3.7372288595888295e-18,18.0,0.3
ThTr_1p25nM-RT,Rep1,1296,21.6,0.36,1.6918470859527588,0.053986665805441,0.7846899099628004,941627891.955368,,0.5546295659901093,48,48.0,0.0013909827714988,0.0015564351458596,6.043525815403503e-09,2.8596793143447337e-08,1.0,-1.3863048731282846e-06,3.3273541017605103e-08,-1.6562836782142375e-06,23.58127475424122,-2.814339006855025e-07,3.934364651307862e-06,65.97995850835333,0.0003886869061878,9.576590437654256e-05,1.4656430652254042e-20,3.863948677597877e-18,21.6,0.36
ThTr_1p25nM-RT,Rep1,1512,25.2,0.42,2.0183699131011963,0.0644059755016148,0.9361333648490556,1123360037.818864,,0.5671473190652209,56,56.0,0.0013913123687012,0.0015566541234117,8.459001942921354e-09,1.6804578625752212e-08,1.0,1.6495623527284958e-06,2.348078418113884e-08,-1.6267253956805689e-06,19.445219374058937,-1.706504406465025e-07,3.005720623745996e-06,46.95146641517533,0.0003916567076306,0.000101111013321,7.188595583329249e-21,3.9293215545752354e-18,25.2,0.42
ThTr_1p25nM-RT,Rep1,1728,28.8,0.48,2.478040933609009,0.0790740302984382,1.1493318357331148,1379198202.8797376,,0.6092726016396919,64,64.0,0.0013916528941808,0.0015582040719638,-1.9054010013173327e-09,8.143680789153661e-09,1.0,1.6652895812758886e-06,1.5156576332082028e-08,-1.7391208654375776e-06,20.12038200506485,5.9041401148767736e-08,3.343041790871462e-06,41.92220586822472,0.0003963547033293,0.0001050633210732,2.9245845783270538e-21,3.964575923247345e-18,28.8,0.48
ThTr_1p25nM-RT,Rep1,1944,32.4,0.54,2.688840866088867,0.0858006343757749,1.247102243833936,1496522692.600725,774947.7656380178,0.587645954120223,72,72.0,0.0013914169356242,0.0015601105743505,-3.855743913381652e-09,8.780500569934522e-09,1.0,1.36679535436635e-06,1.3599212981351837e-08,-8.381531404142112e-07,23.038514985147646,8.49971002329975e-07,2.84045797069884e-06,54.04647666012579,0.0003986199244903,0.0001084622749744,2.327767184539165e-21,3.99115393462229e-18,32.4,0.5399999999999999
