condition,protein,DNA_nM,kDa,total_duration_h,mean_velocity,max_velocity,velocity_std,velocity_cv,velocity_range,max_continuous_motion_h,velocity_decay_rate,mean_protein_conc,max_protein_conc,final_protein_conc,protein_conc_at_max_vel,protein_conc_std,protein_conc_cv,mean_vorticity,max_vorticity,vorticity_at_max_vel,mean_divergence,max_divergence,divergence_at_max_vel,mean_shear,max_shear,shear_at_max_vel,mean_strain,max_strain,strain_at_max_vel,mean_correlation_length,max_correlation_length,correlation_length_at_max_vel,mean_distance_[m]_mean,max_distance_[m]_mean,distance_[m]_mean_at_max_vel,mean_power,max_power,power_at_max_vel,total_work,energy_efficiency,mean_energy_per_protein,mean_intensity,max_intensity,intensity_at_max_vel,intensity_std,intensity_cv,kmeans_cluster,hierarchical_cluster,behavioral_class
Kif3_5nM_1,H,5.0,93.0,3.977777777777778,3.887863761494786e-08,3.076478032134708e-07,6.535138892859357e-08,1.6809073809589357,3.076478032134708e-07,0.3333333333333334,0.0,45.562784264361014,123.18403914273144,123.18403914273144,45.562784264361014,39.45063641294582,0.8658521872598535,0.008733846696732668,0.2582314531764,0.1737417071558999,-0.008296082095957748,0.0910108409813112,-0.1163380269391999,2.3773552062145655e-06,0.0001228744667707,2.81188039387174e-06,4.650423678938844e-07,0.0001097146243231,5.273207889032686e-05,7.982702986227e-05,0.000199842385427,0.0001795255456179,0.00041955897589582297,0.0005586034227513,0.0002041088976725,1.0220523672794694e-18,6.747438231137442e-18,5.873339720706001e-18,9.770820631191725e-16,inf,inf,189.38791372511122,209.65067625045776,189.38791372511122,10.298453411528929,0.05437756406397037,0,0,Multiphase
Kif3_10nM_1,H,10.0,93.0,3.977777777777778,3.172929933961999e-08,3.185666952022407e-07,4.869183343593732e-08,1.5346015969264224,3.185666952022407e-07,0.1555555555555555,0.0,69.5219732693405,172.1811919268517,172.1811919268517,4.280042778907422,53.50081210183633,0.7695525541912434,0.00124760457800329,0.1315357671209,0.0371362579192511,-0.0060135753214428265,0.0560749598600344,-0.0137384931186416,1.2914635997430061e-06,0.0001139497807003,9.233153733820958e-06,6.400569710784745e-07,9.069063957178612e-05,3.348469135576057e-05,7.720571241207188e-05,0.0002428016282361,0.0002381423900391,0.0003514355516674438,0.0004559974461396,8.9155008724497e-05,1.3037249426709776e-18,5.824752260960343e-18,3.578963918970919e-18,8.630659120481866e-16,inf,inf,195.3570962323083,222.15593338012687,178.3259139060974,13.966203615638511,0.07149063886080004,0,0,Multiphase
Kif3_20nM_1,H,20.0,93.0,3.977777777777778,6.848019983276221e-08,5.980449302511301e-07,7.393474711847267e-08,1.0796514510622224,5.980449302511301e-07,0.0888888888888889,0.0,113.72159941883612,279.9142996168126,279.9142996168126,113.72159941883612,86.0364455318232,0.7565532490881647,-1.85042076060053e-05,0.1580290931516,0.0383978108787057,-0.020190602132431283,0.1116610301738,0.0073200746611051,7.21243233082443e-07,0.000265876245012,9.618404664874628e-09,-3.2857314503361447e-06,0.0001311044118457,2.710177015494618e-06,0.00010236946644226686,0.0003562317039433,0.0003472140292508,0.0004491974430141331,0.0009849876605305,7.539458763772531e-05,2.266724169533503e-18,3.6400685916907406e-17,5.933392696560588e-18,1.5753732978257846e-15,inf,inf,208.83029403421614,252.2143287658692,208.83029403421614,22.45951920086822,0.10754914321572664,0,0,Multiphase
Kif3_40nM_1,H,40.0,93.0,3.977777777777778,1.003927009252193e-07,7.251843287840249e-07,9.585893861080233e-08,0.9548397216865986,7.251843287840249e-07,0.06666666666666671,0.0,147.7587271078898,376.0241987199115,376.0241987199115,1.864895248962768,115.99445727086197,0.7850260999214325,-0.0022441978010818604,0.1513717462502,-0.0633004731482246,-0.010088646324882863,0.1532914159387,-0.0036082267611374,3.0435226783195856e-06,0.0002656105127601,7.363619970954351e-05,-7.406438773352445e-07,0.0001433178867644,1.5709110338305385e-05,8.384312942607313e-05,0.0004211667994039,0.0004176605524762,0.0006870959761183317,0.0014390502770854,0.0,1.0663242507696351e-17,3.0880713162444556e-17,6.029480560200914e-18,1.051395711258861e-14,inf,inf,217.37288766437106,276.9608066082001,179.2878029346466,30.27995547893255,0.1392995962113064,0,0,Multiphase
Kif3_80nM_1,H,80.0,93.0,3.977777777777778,3.382631727205372e-08,6.661438505584632e-07,7.393194391023032e-08,2.1856338458490914,6.661438505584632e-07,0.06666666666666671,0.0,100.30467694789738,237.92925032850988,237.92925032850988,100.30467694789738,72.16210510743966,0.7194291164002632,-0.00024111223395570396,0.1433153304927999,0.0024122248923648,-0.009135699359480168,0.0697287433546939,-0.1311798260311,8.651692520076739e-07,0.0001307155032978,7.557937488365568e-05,3.0198577634577737e-06,0.000185134783341,-1.894524257622867e-05,7.202245258131327e-05,0.0003725196679351,0.0003532453814814,0.0003371987192558471,0.0004861315638861,0.0001026994871249,1.1031839767107626e-18,1.436737414398495e-17,7.112348967441659e-18,1.0767075612697045e-15,inf,inf,204.6095582683881,240.53598141670227,204.6095582683881,18.837670189851533,0.09206642323689493,0,0,Multiphase
Kif3_160nM_1,H,160.0,93.0,3.977777777777778,4.430851659538991e-08,6.968006030745057e-07,9.446429004003455e-08,2.131966883537309,6.968006030745057e-07,0.0888888888888889,0.0,68.66628632840649,160.2902733430821,160.2902733430821,68.66628632840649,51.06673142536518,0.7436943827299924,-0.0017370191534002073,0.0572796711997163,-0.0425652967981441,0.00011034974426428156,0.0549189391928541,0.0114788329483805,-6.701767948271162e-07,5.57049561750431e-05,-3.449343107128871e-05,-1.9896740491323828e-06,3.234796656053744e-05,-7.401792695543632e-05,0.00010064029378120158,0.0004432695264742,0.0004432189459572,0.0004482028076040415,0.0006321987524841,5.574404824596046e-06,5.363737126657199e-19,1.0532659848817609e-17,4.943225223327553e-18,7.702326513879745e-16,inf,inf,194.6437371002303,218.56186485290527,194.6437371002303,13.330795198290016,0.0684881794651601,0,0,Multiphase
C_1p25nM,C,1.25,78.0,30.83333333333333,1.4001212928642027e-09,1.824520451637255e-08,1.5751852403613933e-09,1.1250348440448794,1.824520451637255e-08,0.2083333333333286,0.0,374.23423724295816,646.755832091671,544.2368377714963,0.0,215.9562851741718,0.577061806971899,2.144642598952586e-05,0.0020490072119315,0.0012491632509836,-3.816262673195339e-05,0.0010589765223112,-0.0004649205260126,-2.4321922645745463e-08,2.654805853846714e-06,-1.5830583844776924e-06,-3.2211656886613815e-09,4.815145513533993e-07,4.5623027590679053e-07,0.0002690688617330914,0.0003704416995496,0.0003009428488617,8.705137282910113e-05,0.000154465109557,0.0,1.1517241381824559e-22,7.351219857267745e-21,7.351219857267745e-21,1.7091586210627657e-19,inf,inf,285.0030700296364,356.1438982486725,187.31050515174863,56.374648016153344,0.19780365176519382,0,0,Slow-Sustained
C_2p5nM,C,2.5,78.0,30.83333333333333,1.4128848213201415e-09,2.4587395993900043e-08,1.4276769711965072e-09,1.0104694661965046,2.4587395993900043e-08,,0.0,411.6004634112629,711.0534955650444,621.1533599872622,0.0,237.78452117930564,0.5777071269759873,-7.739467487629711e-06,0.0019735923453127,0.001421372617433,-2.8946035375337527e-05,0.0010306683364131,0.0004970913645716,3.0251426867481726e-08,1.0636992910041671e-06,-9.80042332067553e-07,-7.13779176196681e-08,1.1220721363943575e-06,6.320221310786025e-07,0.0001920206103574368,0.0004990727248941,0.0004990727248941,8.673059980515742e-05,0.0001554100259133,0.0,3.6670049064594682e-22,9.057247907872588e-21,4.854308757053776e-21,5.441835281185846e-19,inf,inf,293.8313813449552,372.0025689601898,186.38449120521545,62.07283420513359,0.21125324980949084,0,0,Slow-Sustained
C_5nM,C,5.0,78.0,30.83333333333333,1.2809327317860162e-08,5.36299775701326e-08,1.4126279847937069e-08,1.1028119976480473,5.36299775701326e-08,5.0,0.0,510.89431100379187,880.3899132656543,796.7871284261998,510.89431100379187,296.1413526259859,0.5796528680151773,0.00027243110841140757,0.0282938172374854,-0.0069335206575826,0.0016477400715487992,0.0272861874085106,0.00331796260238,5.737008448252298e-07,3.3388411221633405e-05,-3.498240027943668e-06,-8.911406339308062e-07,1.5812253838094567e-05,-9.404120915753838e-06,0.0001974955060289991,0.0004686428222435,0.0001967620880363,0.0007524662605980217,0.0014236384428232,0.0006975353394692,2.1728501329809093e-20,1.4858069348451982e-19,1.4858069348451982e-19,3.2245095973436727e-17,inf,inf,320.7274317613384,417.1829922199249,320.7274317613384,77.30668502587395,0.24103546304514376,0,0,Slow-Sustained
C_10nM,C,10.0,78.0,30.83333333333333,2.6783516289023515e-08,9.341194320420221e-08,2.563462601515612e-08,0.9571045765063254,9.341194320420221e-08,5.624999999999998,0.0,683.0763960332258,1146.31834242124,1053.7206796000737,683.0763960332258,393.3803451627363,0.5758950937950457,-0.00045316921595549113,0.039710902087025,-0.0102415590713536,-0.0026864861024040523,0.0341986051676092,-0.0156798384935963,7.408203662126207e-07,3.529942923762447e-05,-5.936070029080256e-06,-7.881119556348263e-07,4.232598074226028e-05,1.390678332044045e-05,0.00017333073147093585,0.0003852461655074,5.317017533166247e-05,0.0015444687730543473,0.0029798502305187,0.0014605913998825,6.428633424520517e-19,6.783174404560665e-18,6.1730333604768834e-18,9.540092001988449e-16,inf,inf,365.3150169401361,486.242739200592,365.3150169401361,102.69059072365673,0.2811014767030082,0,0,Slow-Sustained
