time (s),A-160.0nM,A-20.0nM,A-40.0nM,A-80.0nM,AcSu2-1.25nM,AcSu2-10.0nM,AcSu2-160.0nM,AcSu2-2.5nM,AcSu2-20.0nM,AcSu2-40.0nM,AcSu2-5.0nM,AcSu2-80.0nM,AdPa-1.25nM,AdPa-10.0nM,AdPa-160.0nM,AdPa-2.5nM,AdPa-20.0nM,AdPa-40.0nM,AdPa-5.0nM,AdPa-80.0nM,B-1.25nM,B-10.0nM,B-160.0nM,B-2.5nM,B-20.0nM,B-40.0nM,B-5.0nM,B-80.0nM,C-1.25nM,C-10.0nM,C-160.0nM,C-2.5nM,C-20.0nM,C-40.0nM,C-5.0nM,C-80.0nM,D-1.25nM,D-10.0nM,D-160.0nM,D-2.5nM,D-20.0nM,D-40.0nM,D-5.0nM,D-80.0nM,DiPu-1.25nM,DiPu-10.0nM,DiPu-160.0nM,DiPu-2.5nM,DiPu-20.0nM,DiPu-40.0nM,DiPu-5.0nM,DiPu-80.0nM,F-1.25nM,F-10.0nM,F-160.0nM,F-2.5nM,F-20.0nM,F-40.0nM,F-5.0nM,F-80.0nM,G-1.25nM,G-10.0nM,G-160.0nM,G-2.5nM,G-20.0nM,G-40.0nM,G-5.0nM,G-80.0nM,H-1.25nM,H-10.0nM,H-160.0nM,H-2.5nM,H-20.0nM,H-40.0nM,H-5.0nM,H-80.0nM,HeAl-1.25nM,HeAl-10.0nM,HeAl-160.0nM,HeAl-2.5nM,HeAl-20.0nM,HeAl-40.0nM,HeAl-5.0nM,HeAl-80.0nM,NaGr-1.25nM,NaGr-10.0nM,NaGr-160.0nM,NaGr-2.5nM,NaGr-20.0nM,NaGr-40.0nM,NaGr-5.0nM,NaGr-80.0nM,ThTr-1.25nM,ThTr-10.0nM,ThTr-160.0nM,ThTr-2.5nM,ThTr-20.0nM,ThTr-40.0nM,ThTr-5.0nM,ThTr-8.0nM,ThTr-80.0nM,ThTr-85.0nM,Unc-10.0nM,Unc-20.0nM,Unc-40.0nM,Unc-80.0nM
60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00023869556723298842,0.000321596073914512,7.04086028608512e-05,0.00016586948647548058,0.0,2.406726523408108e-05,0.000210647496593894,0.0,0.00019023788745801945,0.0002872890986359971,0.0006035906077130001,0.0001481474774080435,0.00028732376086875697,0.00017758313195431494,4.313720947929286e-05,0.0004038626874130924,,,,,,,,,,,,,,
66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00023975233965559025,0.00021963973112461876,0.0005603109790247231,0.00011881349874453077,0.0002604534764122464,0.00018087117919162975,9.700049485846776e-05,0.0003651311085283799,,,,,,,,,,,,,,
72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012113428725507113,0.00017802717339923581,0.0005231823763777711,0.0001445939296299816,0.00022604336578854002,0.00016567695905633198,0.0001135634475111979,0.0004108178772544212,,,,,,,,,,,,,,
78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000291050498188742,0.00019319135293281074,0.0005165435250185672,5.604858712728192e-05,0.00015299264943838072,0.00018172496471432136,6.44376988080034e-05,0.0003788692716440696,,,,,,,,,,,,,,
80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.00011876059323137259,0.0,1.7373440789939808e-05,0.00010733543482658636,0.00021227406747430209,0.0,8.36392379158285e-05,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.565562686747824e-05,0.00018237552009336375,0.00033156517529968793,0.0,0.0,0.00016309869704842175,0.00017330155566644875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012193480239899533,0.0002092586964680228,0.0005340159660101394,5.859948421459235e-05,0.00014021639368721667,0.00014381518480066744,7.872243060445763e-05,0.0004594151789353801,,,,,,,,,,,,,,
90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00010001817668026375,9.197447110843808e-05,0.0005921481790027696,0.00014375352251291788,0.00020074394939628473,0.00011873784994180793,6.926280322990094e-05,0.000410937066686364,,,,,,,,,,,,0.0,0.0,
96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.728326570465797e-05,0.00012397768493811916,0.0004934554374544552,0.00013274358117002175,0.00019253277051039266,0.00012266562821179475,8.693190678417895e-05,0.0003380286479233201,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00012088435431359889,8.494570003616404e-05,0.0005652624485688548,0.00015495124802205823,5.430720520222652e-05,0.00010784673316524637,9.626249335537894e-05,0.0004574359046339165,,,,,,,,,,,,,,
108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00015401986774673493,0.00010289866903345711,0.0004533247205849807,0.00015188941746169585,0.0001609185034188269,7.256690455397226e-06,7.974028402887368e-05,0.0004747214128123305,,,,,,,,,,,,,,
