protein,modules,pos1,pos2,pos3,B_count,max_power,DNA_at_max_power,prot_at_max_power,time_at_max_power,max_work,DNA_at_max_work,duration_max,DNA_at_max_duration,mean_gene2prot_gain,slope_log_gain_vs_log_DNA,mean_power_per_prot,mean_vel_per_prot,PC1,PC2,strategy
A,MMM,M,M,M,0,2.505042330046345e-19,160.0,491.9940094603588,15.25,5.711638496983809e-17,160.0,4.466666666666665,160.0,118.65812561849835,-0.755267389642468,2.8204617924755826e-23,8.504689327802727e-12,-1.065214141501136,0.1316258839811026,dead/weak
B,BMM,B,M,M,1,0.0,1.25,0.0,,0.0,1.25,0.0,1.25,316.7304597149045,-0.905164351854018,0.0,0.0,-2.101931047297306,-0.2536756018188268,dead/weak
C,MBM,M,B,M,1,5.243437788325065e-17,20.0,823.1762250352671,12.8125,6.129248405791014e-15,20.0,11.791666666666663,80.0,137.98015797441965,-0.7359492488672238,8.415066511948205e-21,6.834021202790663e-11,1.6335051697046308,2.572102937739473,dead/weak
D,BBM,B,B,M,2,5.5198469665268834e-17,20.0,7.510748733304075,0.3,5.6216301659927986e-15,5.0,2.226666666666666,1.25,39.751883414455385,-0.860755532667897,1.0348575119659439e-19,2.969141647939232e-09,3.835342608239999,-1.3909594847698834,dead/weak
E,MMB,M,M,B,1,0.0,1.25,0.0,,0.0,1.25,0.0,1.25,146.0080364247942,-0.7673473703175264,0.0,0.0,-1.4161602143948977,-0.5324903081350049,dead/weak
F,BMB,B,M,B,2,0.0,1.25,0.0,,0.0,1.25,0.0,1.25,275.3523077347204,-0.761664188151132,0.0,0.0,-1.9357201348667004,-0.32125218062978084,dead/weak
G,MBB,M,B,B,2,2.5170162504814442e-17,160.0,283.56955969836105,13.770833333333334,2.6753333470521946e-15,160.0,9.291666666666663,160.0,120.76331391019137,-0.868219095316193,8.671608305440626e-21,9.603480742427521e-11,0.3475137207095055,1.3836087964608583,dead/weak
H,BBB,B,B,B,3,1.0532659848817609e-17,160.0,0.4176695347463166,0.2844444444444444,9.126719613279765e-16,5.0,0.9066666666666671,2.5,19.254057261699636,-0.7150802824757513,3.054944958121505e-20,2.0859718161351212e-09,0.7026640394059032,-1.5889600428279382,dead/weak
