condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
D-2,Rep1,20,0.3333333333333333,0.0055555555555555,131.23426220851815,0.1699607252921424,6.294841677486744,1.0,1.0,0.0014008335017935,0.0013766880308572,2.5866815037072683e-08,-5.2995335548737785e-08,1.0,5.66384199783881e-06,6.46005318324865e-08,-2.280525382932065e-06,25.01201725115028,-1.2864099295199169e-06,-2.3148283847585658e-07,-54.15342123441678,0.0003821777443095,1.29201063664973e-06,5.714409996463472e-20,1.3934842839065474e-19,0.3333333333333333,0.0055555555555555
D-3,Rep1,20,0.3333333333333333,0.0055555555555555,129.85565352229727,0.1699783428353392,6.295494179086632,1.0,1.0,0.001364191144877,0.0014250204960528,3.5500772165258222e-09,-6.034801655883232e-10,1.0,-6.146128483060655e-07,8.374315603063304e-09,-7.184848076252191e-07,19.96377182677095,6.487980274918609e-07,1.21207152267287e-07,-12.248763311074422,0.0002405132415016,1.674863120612661e-07,2.4246589557948418e-21,8.981839049460124e-21,0.3333333333333333,0.0055555555555555
AdPa-1,Rep1,40,0.6666666666666666,0.0111111111111111,130.08937114906854,0.121146693144424,4.486914560904609,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,40,0.6666666666666666,0.0111111111111111,130.82475922826907,0.1381513078285943,5.116715104762704,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,40,0.6666666666666666,0.0111111111111111,131.7490047271586,0.1718602311696377,6.365193747023653,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,40,0.6666666666666666,0.0111111111111111,130.7730615704496,0.1611737655856151,5.969398725393205,2.0,2.0,0.0013914260842852,0.0013800952249655,2.892373622181558e-09,-3.050473187644356e-09,1.0,1.1384066345214908e-06,1.0085164123606004e-08,-5.727386536750656e-07,18.48525968915273,-1.924034395667002e-06,1.963117186351411e-07,-20.42802652322312,0.0002242667061128,4.41531300763873e-07,4.044513852095327e-21,1.643664095022967e-20,0.6666666666666666,0.0111111111111111
D-2,Rep1,40,0.6666666666666666,0.0111111111111111,131.06563112334484,0.1576734211048958,5.839756337218375,2.0,2.0,0.0013990333636572,0.0013776892030845,2.8263607227174767e-08,-3.777566879373627e-08,1.0,3.381687309373761e-06,5.0766650620892926e-08,-2.1480703628242686e-06,21.19508089437811,-4.662908570195581e-06,1.545228591967154e-07,-39.763561163819446,0.0003756292624819,2.3073436490675883e-06,3.653155705872742e-20,1.7587998544938217e-19,0.6666666666666666,0.0111111111111111
D-3,Rep1,40,0.6666666666666666,0.0111111111111111,129.76463888260434,0.1633465610244693,6.049872630535873,2.0,2.0,0.0013634819885503,0.0014244912222397,-3.4256693492880283e-09,2.3328340628750862e-09,1.0,-2.90477300687156e-07,7.519523716405143e-09,-4.500306752112619e-07,20.49315958711581,5.942267732279614e-07,1.782968473842653e-07,28.13953119389481,0.0002382939510453,3.1787678638936895e-07,1.9915197889163548e-21,1.0973358838376479e-20,0.6666666666666666,0.0111111111111111
AdPa-1,Rep1,60,1.0,0.0166666666666666,129.75816532432623,0.0970133803983568,3.59308816290212,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,60,1.0,0.0166666666666666,130.5903109788916,0.1210682359067876,4.484008737288434,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,60,1.0,0.0166666666666666,131.2521600167696,0.1356576408577812,5.024357068806751,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,60,1.0,0.0166666666666666,130.37975915264326,0.1325157845247755,4.907992019436136,3.0,3.0,0.0013907620268069,0.0013805052635886,-5.285658131031777e-09,2.470283593053315e-09,1.0,2.968522948399872e-07,1.1137762560418712e-08,-5.624240830393413e-07,19.94446719058857,-1.1348377063054334e-06,2.8048833018899504e-07,35.026470990875126,0.0002221265382279,6.642865519722472e-07,5.028344327901457e-21,2.146498527813113e-20,1.0,0.0166666666666666
D-2,Rep1,60,1.0,0.0166666666666666,130.83140284504915,0.1406063773761792,5.207643606525124,3.0,3.0,0.0013982727785192,0.0013773525879326,1.92525412334488e-08,-3.5667389617809764e-08,1.0,1.7189563404920097e-06,4.3289485638552374e-08,-2.0777483116478147e-06,15.077143435786006,-5.355105615820454e-06,2.6098358373641633e-08,-57.198342188316026,0.0003686596768589,3.173133361838636e-06,2.757678103214373e-20,2.034567664815259e-19,1.0,0.0166666666666666
D-3,Rep1,60,1.0,0.0166666666666666,129.5030970700518,0.1442893165952252,5.344048762786116,3.0,3.0,0.0013635163083733,0.0014236106977307,5.834871118962831e-10,-4.570596301601462e-09,1.0,-1.767975658358926e-07,7.506752447483581e-09,-6.095461393292235e-07,16.697774481954838,-7.540822814116218e-07,1.4961209517741637e-07,-56.503297836368986,0.0002363688676156,4.680118353390406e-07,2.0172217164738568e-21,1.2990580554850336e-20,1.0,0.0166666666666666
AdPa-1,Rep1,80,1.3333333333333333,0.0222222222222222,129.84779417831348,0.1035441869324174,3.834969886385835,1.0,1.0,0.0013919438384322,0.0014292719817899,-3.268598154773189e-09,-3.763861986758081e-10,1.0,4.280192938081297e-07,6.623463621175191e-09,-5.23771315450473e-07,21.45762716128112,-4.673308872134367e-07,-7.097516051431624e-08,6.997552648347359,0.0002707685393105,5.298770896940152e-07,1.1967512839249825e-21,5.4571511686129695e-21,1.3333333333333333,0.0222222222222222
AdPa-2,Rep1,80,1.3333333333333333,0.0222222222222222,130.3130056553764,0.1008623832357225,3.735643823545246,1.0,1.0,0.0015005767815144,0.0013422855058684,-1.1859109970364222e-09,6.68698200040494e-10,1.0,-5.735318378661085e-08,2.9866030641591907e-09,-1.0616519417544143e-06,17.980713857727633,-4.867371278981909e-07,-1.692347603450896e-07,18.05670556833381,0.0002596157422479,2.389282451327353e-07,2.646811190205986e-22,7.452291086143733e-22,1.3333333333333333,0.0222222222222222
AdPa-3,Rep1,80,1.3333333333333333,0.0222222222222222,131.19573671039575,0.1315463565832768,4.872087280862132,1.0,1.0,0.0013705742669911,0.0014369316629813,9.25752257498314e-10,4.112585628514547e-09,1.0,-2.6923248422448587e-06,7.111931455111239e-09,-1.0030791734575118e-06,31.75556400852937,1.6777152474738283e-06,-2.646154429795217e-07,26.947088498000003,0.0004318288589192,5.68954516408899e-07,5.424775810613286e-22,3.696306090509383e-21,1.3333333333333333,0.0222222222222222
D-1,Rep1,80,1.3333333333333333,0.0222222222222222,130.12363048856426,0.1138529691643865,4.21677663571802,4.0,4.0,0.0013907620268069,0.0013805052635886,-4.2316149586659775e-09,-1.6930147002643694e-09,1.0,1.8921804312388376e-06,9.689900481704925e-09,-7.921695753367264e-07,13.66375190840452,-9.85321990504246e-07,-1.7759812918501308e-07,-2.3818685987551382,0.0002200411110614,8.580845616063458e-07,3.8784747710985485e-21,2.534346004922968e-20,1.3333333333333333,0.0222222222222222
D-2,Rep1,80,1.3333333333333333,0.0222222222222222,130.36949217060115,0.1069492556275699,3.9610835417618375,4.0,4.0,0.0014002388833514,0.0013769474794696,1.5925399430054748e-08,-1.5645137789213806e-08,1.0,2.643011968545396e-06,2.7219583090017772e-08,-2.2532778630409464e-06,19.14852469382357,-7.912535014340749e-06,-1.695810794757031e-07,-20.093544233588045,0.0003613304601724,3.717525023638992e-06,1.134968440299604e-20,2.14806450884522e-19,1.3333333333333333,0.0222222222222222
D-3,Rep1,80,1.3333333333333333,0.0222222222222222,129.17988547809622,0.1207385036290373,4.471796430705069,4.0,4.0,0.0013641126458859,0.0014258984919754,1.7491576621634807e-09,-2.1028235937009372e-09,1.0,-4.925956334454945e-07,6.0919004739528805e-09,-5.590038861624399e-07,24.90080601753987,4.750617283975274e-07,4.084968402737185e-07,-30.11667265896609,0.0002347664530399,5.898498448180981e-07,1.3466772318939513e-21,1.4337257786744287e-20,1.3333333333333333,0.0222222222222222
AdPa-1,Rep1,100,1.6666666666666667,0.0277777777777777,129.69947124654823,0.0927366363632522,3.4346902356760154,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,100,1.6666666666666667,0.0277777777777777,130.1064772526234,0.0858136909657059,3.17828485058169,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,100,1.6666666666666667,0.0277777777777777,130.9649861183035,0.1147327144631988,4.249359794933298,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,100,1.6666666666666667,0.0277777777777777,129.85947918913806,0.0946055844715232,3.503910535982357,5.0,5.0,0.0013907620268069,0.0013805052635886,-3.3471398362351273e-09,-8.068415469063695e-09,1.0,1.1832157704536238e-06,1.188530576391966e-08,-8.783989416193468e-07,18.752863243139444,-1.2399657088624366e-06,9.820134988191384e-09,-78.48422943389222,0.0002180339708756,1.0957906768847393e-06,5.9429542222237494e-21,3.128641427145343e-20,1.6666666666666667,0.0277777777777777
D-2,Rep1,100,1.6666666666666667,0.0277777777777777,130.34675308977089,0.1052923724804761,3.899717499276875,5.0,5.0,0.0013998695339575,0.0013773925980006,2.314210999276441e-08,-1.767928561028476e-08,1.0,1.6873019545327223e-06,3.1528410232093335e-08,-1.7292862680117706e-06,18.082313125779592,-8.224918101881905e-06,1.4879210326176264e-07,-32.42051156991149,0.0003537157505893,4.348093228280859e-06,1.5890052908433968e-20,2.30696503792956e-19,1.6666666666666667,0.0277777777777777
D-3,Rep1,100,1.6666666666666667,0.0277777777777777,128.93814352124062,0.1031239757046513,3.8194065075796857,5.0,5.0,0.0013632973054692,0.0014243553076244,-3.937237950128201e-09,-1.556824403045267e-09,1.0,9.826429923353312e-08,7.106863529467409e-09,-2.502077349299357e-07,17.127418048281374,-7.316220790011754e-07,1.7114864405909645e-07,-25.438927383493823,0.0002335061843058,7.319871154074462e-07,1.8526320511261864e-21,1.6189889837870475e-20,1.6666666666666667,0.0277777777777777
AdPa-1,Rep1,120,2.0,0.0333333333333333,129.31594470243232,0.0647909743484955,2.39966571661094,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,120,2.0,0.0333333333333333,130.13262047405533,0.0877186168210935,3.248837660040465,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,120,2.0,0.0333333333333333,130.98853118859665,0.1164483260333,4.312900964196331,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,120,2.0,0.0333333333333333,129.73375927606057,0.0854450028813049,3.164629736344608,6.0,6.0,0.0013907620268069,0.0013805052635886,7.269396045025346e-10,-3.887338721159274e-09,1.0,-2.1361157219447226e-07,8.22841903783316e-09,-9.231545855771172e-07,17.57476113662563,-7.316106840549493e-07,4.159962151901885e-07,-38.902211553404754,0.0002161260387888,1.2603590576414024e-06,2.8990026273667087e-21,3.418541689882014e-20,2.0,0.0333333333333333
D-2,Rep1,120,2.0,0.0333333333333333,130.33878319860207,0.1047116463526105,3.87820912417078,6.0,6.0,0.0013976620231806,0.0013768676327909,6.209741991383163e-10,-2.7310530355184484e-08,1.0,2.046325311919644e-06,2.9543826089245688e-08,-1.6310697820485397e-06,22.119747183648336,-6.997137896942636e-06,-4.805758345423624e-07,-84.40055057667006,0.0003459011906245,4.938969750065772e-06,1.459013660661257e-20,2.452866403995685e-19,2.0,0.0333333333333333
D-3,Rep1,120,2.0,0.0333333333333333,128.84110653078238,0.096053375299336,3.5575324184939063,6.0,6.0,0.001364191144877,0.0014250204960528,4.5087741957335677e-10,5.669764416524589e-09,1.0,2.0832624991141903e-08,7.488263227192851e-09,-7.108155923265763e-07,22.87304995714525,-5.768162366982681e-07,-1.1602821965095193e-07,70.62510462627327,0.0002325979512952,8.817523799513033e-07,2.072909920177829e-21,1.8262799758048303e-20,2.0,0.0333333333333333
AdPa-1,Rep1,140,2.333333333333333,0.0388888888888888,129.25712075359846,0.0605047672587781,2.2409173058806573,,,,,,,,,,,,,,,,,,,,
AdPa-2,Rep1,140,2.333333333333333,0.0388888888888888,130.07484755176878,0.0835089927817813,3.092925658584477,,,,,,,,,,,,,,,,,,,,
AdPa-3,Rep1,140,2.333333333333333,0.0388888888888888,130.78590068177246,0.1016836539539758,3.766061257554668,,,,,,,,,,,,,,,,,,,,
D-1,Rep1,140,2.333333333333333,0.0388888888888888,129.60286195569523,0.0759071695039583,2.811376648294754,7.0,7.0,0.0013907620268069,0.0013805052635886,-2.408878198584396e-09,4.929983010628231e-09,1.0,9.397685840564388e-07,9.897525504005033e-09,-7.851853494497053e-07,18.01608222692054,-6.391402532191582e-07,-4.546742830844916e-08,59.72686415333175,0.0002143372695455,1.4583095677215033e-06,4.264693918729847e-21,3.845011081754999e-20,2.333333333333333,0.0388888888888888
D-2,Rep1,140,2.333333333333333,0.0388888888888888,129.924075295405,0.0744939545776928,2.7590353547293205,7.0,7.0,0.0014002388833514,0.0013769474794696,6.167723811394668e-09,1.3267292668147155e-09,1.0,-9.835303735037603e-07,1.2427158426936022e-08,-1.970091966610468e-06,17.912636499247274,-6.855238764641968e-06,2.0296318439694854e-07,6.981374549277936,0.000337981166452,5.187512918604492e-06,2.703887789872836e-21,2.4799052818944136e-19,2.333333333333333,0.0388888888888888
D-3,Rep1,140,2.333333333333333,0.0388888888888888,128.95032889555014,0.1040118630157165,3.852291222804297,7.0,7.0,0.0013626402967561,0.0014247057121592,-2.282624633176231e-09,-1.3066292223733951e-09,1.0,-6.090149273891767e-07,6.346357095756284e-09,-4.403481395926938e-07,22.16415868544604,-5.776460959141646e-07,2.295914249709833e-07,-27.52261380409873,0.0002320410055638,1.008679521866429e-06,1.4960617812970933e-21,1.97588615393454e-20,2.333333333333333,0.0388888888888888
AdPa-1,Rep1,160,2.6666666666666665,0.0444444444444444,129.3989995345014,0.0708427647690133,2.623806102556045,2.0,2.0,0.0013919438384322,0.0014292719817899,-3.273223504753644e-09,-2.873032724442877e-09,1.0,-1.741458008831027e-07,6.758656723047826e-09,-4.098830599241286e-07,17.985082836121432,3.526576994078673e-08,-2.843736030792656e-07,-49.55014204072071,0.0002699627276312,1.0705696275378414e-06,1.2535543216127078e-21,6.710705490225677e-21,2.6666666666666665,0.0444444444444444
AdPa-2,Rep1,160,2.6666666666666665,0.0444444444444444,129.87146993286345,0.0686898823799291,2.544069717775159,2.0,2.0,0.0014997242162316,0.0013424657510578,-7.420456598559958e-10,8.515547192882221e-10,1.0,-5.117477037744291e-07,2.722681652917921e-09,-1.1364343786668051e-06,15.87773302361848,-1.678108140713269e-07,-1.0801375047607925e-07,22.953128574234192,0.0002577171609994,4.56742777366169e-07,2.2322202738504704e-22,9.684511359994202e-22,2.6666666666666665,0.0444444444444444
AdPa-3,Rep1,160,2.6666666666666665,0.0444444444444444,130.87603619665745,0.1082513783348488,4.009310308698105,2.0,2.0,0.0013705742669911,0.0014369316629813,-5.95466892702823e-10,-2.1196432430521073e-09,1.0,-2.3671319473700138e-06,5.3410798675851214e-09,-1.066350837221656e-06,26.007130314583755,1.5112091602606602e-06,-3.213311922402826e-07,-32.99969051550998,0.0004251823796932,9.962409058157083e-07,3.15600457073293e-22,4.011906547582676e-21,2.6666666666666665,0.0444444444444444
