condition,subcondition,time (s),Time_min,Time_h,Mean Intensity,Protein Concentration_ng_ul,Protein Concentration_nM,Unnamed: 0,frame,x [m]_mean,y [m]_mean,u [m/s]_mean,v [m/s]_mean,data type [-]_mean,vorticity [1/s]_mean,velocity magnitude [m/s]_mean,divergence [1/s]_mean,dcev [1]_mean,shear [1/s]_mean,strain [1/s]_mean,vector direction [degrees]_mean,correlation length [m]_mean,distance [m]_mean,power [W]_mean,work [J]_mean,time (min),time (h)
TiLa-2,Rep1,20,0.3333333333333333,0.0055555555555555,129.41755332595392,0.0938882898929902,3.477344070110746,1.0,1.0,0.0014643299084998,0.0013998426241419,3.002187730777389e-09,1.290261216857787e-09,1.0,-2.577666141275408e-08,6.71767747995966e-09,-1.5361333265782054e-06,12.75480708388577,-2.477697268286683e-07,-3.4500299486598535e-07,16.54896827106166,0.0001210296329943,1.3435354959919324e-07,6.161477422777625e-21,1.4637671873721214e-20,0.3333333333333333,0.0055555555555555
TiLa-3,Rep1,20,0.3333333333333333,0.0055555555555555,129.70749545421037,0.1003811392034172,3.7178199704969472,1.0,1.0,0.0014349749562936,0.0013646989232224,4.914368107591629e-09,1.0948586105395555e-09,1.0,2.631044210978772e-07,7.397854338814147e-09,-6.875883896176159e-07,15.554195764710922,-6.981511654473511e-07,-1.4602968527011125e-07,9.450571257377502,0.0001708627217035,1.47957086776283e-07,3.7492716459750016e-21,8.378299795961357e-21,0.3333333333333333,0.0055555555555555
DiPu-1,Rep1,40,0.6666666666666666,0.0111111111111111,128.64674519848165,0.1368343857686129,5.067940213652349,2.0,2.0,0.0013878268958661,0.0013830946421243,-3.729396885069034e-08,-1.5206144623746815e-09,1.0,1.8347660832984087e-06,4.200267432384529e-08,1.147767767111006e-05,16.680301031942044,5.184562914266649e-06,2.0715125743691387e-06,8.564350019538068,0.0002732945856869,1.5880933604567737e-06,4.724129844518929e-20,1.6645041310467241e-19,0.6666666666666666,0.0111111111111111
DiPu-2,Rep1,40,0.6666666666666666,0.0111111111111111,128.64162007632686,0.1188985201009584,4.403648892628098,2.0,2.0,0.0015919263058669,0.0013941331623111,1.733959625456553e-08,-2.13898383773188e-09,1.0,-1.0252852972098214e-06,1.9725016835234336e-08,1.4709307996332276e-05,22.83607246833269,1.0199854632970575e-06,1.7858820983381745e-05,-2.160672921233404,0.0002934510001333,8.594303012042348e-07,9.036361004599554e-21,3.4456559867277646e-20,0.6666666666666666,0.0111111111111111
DiPu-3,Rep1,40,0.6666666666666666,0.0111111111111111,129.6731283373186,0.1630185407181565,6.037723730302105,2.0,2.0,0.0014022834065284,0.0013447874908809,-4.9599831670091785e-08,-2.5108945534561013e-08,1.0,2.134608792385896e-06,5.778213165342352e-08,8.87614530461195e-06,21.177056965501663,1.0529653326790873e-05,1.2958619333997638e-06,-120.5847400263904,0.0004127378957942,2.632633182325313e-06,3.9198407469528593e-20,1.8659879621494808e-19,0.6666666666666666,0.0111111111111111
TiLa-1,Rep1,40,0.6666666666666666,0.0111111111111111,128.87846702482517,0.0876476399221237,3.246208886004581,2.0,2.0,0.0014052962328992,0.0013972432281989,-3.5160152181714083e-09,2.198928890405936e-09,1.0,4.317984990910576e-07,7.133010209263998e-09,-6.022193451127292e-07,14.392426266310808,-5.104974967862049e-07,3.767819796765168e-07,45.171882373796265,0.0001573909908292,2.648591714317937e-07,4.107862970786757e-21,6.223322454514006e-20,0.6666666666666666,0.0111111111111111
TiLa-2,Rep1,40,0.6666666666666666,0.0111111111111111,129.29810308160492,0.085184547720849,3.154983248920331,2.0,2.0,0.0014643299084998,0.0013998426241419,-1.7929573360433583e-09,6.441779720541918e-09,1.0,3.537001023701705e-07,8.614662165469628e-09,-3.248858850355806e-07,11.732596851819189,-1.7184132825032657e-07,7.506687899682823e-07,84.14372914016448,0.0001217233985467,3.0664679290858574e-07,1.0017477097419968e-20,2.4655148971141182e-20,0.6666666666666666,0.0111111111111111
TiLa-3,Rep1,40,0.6666666666666666,0.0111111111111111,129.69656241978612,0.0995845036393276,3.6883149496047167,2.0,2.0,0.0014351999111694,0.0013638162239528,-3.7042801831460734e-09,3.444641623089852e-09,1.0,-4.012141200188076e-07,7.467908956318021e-09,-7.901284612295421e-07,18.78924043649476,2.1349010843669682e-07,-8.354983906461318e-08,57.30661829532929,0.0001683780837185,2.973152659026434e-07,3.9342042197898726e-21,1.231250401575123e-20,0.6666666666666666,0.0111111111111111
DiPu-1,Rep1,60,1.0,0.0166666666666666,128.5338857189893,0.1286108796842437,4.763365914231258,3.0,3.0,0.0013876019974451,0.0013838370136734,-3.4007383590036693e-08,-3.3317925659031434e-09,1.0,2.633485564774349e-06,3.8335391466436574e-08,1.1340251691267008e-05,13.541229160722317,4.441228538391482e-06,1.6597951986354243e-06,-7.052829879736059,0.0002720697360987,2.354801189785505e-06,3.9707206081282656e-20,2.0615761918595506e-19,1.0,0.0166666666666666
DiPu-2,Rep1,60,1.0,0.0166666666666666,128.59924461339693,0.1158108319528326,4.289290072327134,3.0,3.0,0.0015911879708925,0.0013942504314202,1.7728532262049752e-08,5.158540384589443e-10,1.0,-1.904994025901408e-06,1.980991668724795e-08,1.5695193238098643e-05,17.882846727323304,1.62583400465991e-06,1.796989229473791e-05,8.12553226330264,0.000289603597618,1.255628634949194e-06,9.358093683619791e-21,4.3814653550897443e-20,1.0,0.0166666666666666
DiPu-3,Rep1,60,1.0,0.0166666666666666,129.48504093097048,0.1493135516693469,5.530131543309153,3.0,3.0,0.001400969214164,0.0013447874908809,-4.2049848607578884e-08,-2.5924744646397977e-08,1.0,1.194772925236912e-06,5.1731771500160024e-08,8.436284844477836e-06,22.14040751488408,1.0158549498720352e-05,1.6947819459677147e-06,-129.71293305905596,0.0004085282675684,3.667268612328513e-06,3.2070111674966596e-20,2.186689078899148e-19,1.0,0.0166666666666666
TiLa-1,Rep1,60,1.0,0.0166666666666666,129.05639305411333,0.1006122202214525,3.726378526720453,3.0,3.0,0.0014059967402784,0.0013977371159105,-3.554743220042261e-09,-8.941594753190072e-09,1.0,2.484624048240781e-07,1.0747298586420746e-08,-6.300163501573432e-07,19.77339755255245,5.6100044185610337e-08,-5.218600691735825e-07,-106.05597588587258,0.0001652426660545,4.798051431602086e-07,8.460270298493046e-21,7.06934948436331e-20,1.0,0.0166666666666666
TiLa-2,Rep1,60,1.0,0.0166666666666666,129.38340632069475,0.0914001683211482,3.385191419301748,3.0,3.0,0.0014643299084998,0.0013998426241419,2.836683848464095e-09,-4.810725405837023e-09,1.0,7.164271151057275e-09,7.635311919583741e-09,-1.1429139907824543e-06,19.451856388003915,9.68787152363512e-07,5.575370728266376e-08,-50.83543086862441,0.000122440619186,4.593530313002605e-07,7.777365847031516e-21,3.2432514818172704e-20,1.0,0.0166666666666666
TiLa-3,Rep1,60,1.0,0.0166666666666666,129.4872354657154,0.0843318949247899,3.1234035157329743,3.0,3.0,0.0014355554332426,0.0013645414476352,-1.1130016115943116e-09,4.704617716073399e-10,1.0,-5.50007476827309e-07,5.577348718220668e-09,-7.002853567083172e-07,19.082993820625408,2.445446762606547e-07,-6.946976676865344e-08,1.598243387441847,0.0001660413099892,4.088622402670568e-07,2.256593286761404e-21,1.456909730251263e-20,1.0,0.0166666666666666
DiPu-1,Rep1,80,1.3333333333333333,0.0222222222222222,128.53372462895004,0.1285991418583751,4.762931179939841,4.0,4.0,0.0013879849624619,0.001383729379117,-3.8640121139016446e-08,2.8454119431655606e-09,1.0,3.5828971542592404e-06,4.272995032156575e-08,1.0005719729207578e-05,11.94771561239286,2.613895024814256e-06,3.267696300809746e-06,36.6506612622886,0.0002706274639783,3.2094001962168205e-06,4.9859857827490404e-20,2.5601747701344545e-19,1.3333333333333333,0.0222222222222222
DiPu-2,Rep1,80,1.3333333333333333,0.0222222222222222,128.76115159177596,0.1276081840918888,4.726229040440359,4.0,4.0,0.0015925610978178,0.0013939921945047,9.546474554523243e-09,-6.425904812101797e-09,1.0,1.347328743259916e-06,1.3826875745605085e-08,5.920395778871406e-06,17.13436109428991,4.335756059224517e-07,9.660610646725687e-06,-28.312820311889528,0.0002857836774349,1.5321661498612958e-06,4.681696702582728e-21,4.849635025348017e-20,1.3333333333333333,0.0222222222222222
DiPu-3,Rep1,80,1.3333333333333333,0.0222222222222222,129.51745853176976,0.1516756601835158,5.617617043833889,4.0,4.0,0.0014001495695525,0.0013445889475268,-3.6924347245151904e-08,-1.9082795163007243e-08,1.0,6.204627633528654e-07,4.3711707257121454e-08,9.868316226441543e-06,18.819163121131822,1.0579339936633043e-05,2.2287713468389783e-06,-126.03625232538936,0.0004041437447692,4.541502757470942e-06,2.3396657168323486e-20,2.4206556505823827e-19,1.3333333333333333,0.0222222222222222
TiLa-1,Rep1,80,1.3333333333333333,0.0222222222222222,128.73590173647167,0.0772596200458277,2.861467409104705,4.0,4.0,0.0014059967402784,0.0013977371159105,-2.122686496037345e-09,3.125294684089715e-09,1.0,9.143156806061417e-08,6.574431718431726e-09,-6.715901755534914e-07,20.1525435684934,-2.0209626549538494e-07,3.070654347597985e-07,60.46646679677377,0.0001728483789046,6.112937775288431e-07,2.8934488707356894e-21,7.358694371436879e-20,1.3333333333333333,0.0222222222222222
TiLa-2,Rep1,80,1.3333333333333333,0.0222222222222222,129.04574968293258,0.0667968170780355,2.473956188075391,4.0,4.0,0.0014640608158964,0.0013973965406227,-2.0484986743404067e-09,2.9165233645656067e-09,1.0,2.824677295568974e-07,6.7350904482686526e-09,-7.326533240192025e-07,18.965165538305627,-7.876217162982461e-07,1.2158755242933966e-06,52.82036527458734,0.0001231833405776,5.940548402656336e-07,5.978784578229324e-21,3.841129939640203e-20,1.3333333333333333,0.0222222222222222
TiLa-3,Rep1,80,1.3333333333333333,0.0222222222222222,129.5983340804267,0.0924270955951538,3.42322576278346,4.0,4.0,0.0014350857033789,0.0013639030311695,4.329886824341301e-09,-1.9294456943714846e-10,1.0,2.814370047028851e-07,6.914082437102422e-09,-8.734069682661719e-07,16.273850356738873,-5.229719648592274e-07,-2.9658292835967825e-07,-4.331686456851531,0.0001638936289944,5.471438890091053e-07,3.559384944119359e-21,1.8128482246631992e-20,1.3333333333333333,0.0222222222222222
DiPu-1,Rep1,100,1.6666666666666667,0.0277777777777777,128.46228447894947,0.1233936552582193,4.570135379934044,5.0,5.0,0.0013868241081492,0.0013836192046801,-2.6697579687293e-08,-1.05487610722472e-09,1.0,4.5457659125856095e-06,3.0912771334520055e-08,9.358089784912152e-06,14.510039296555368,2.867849690032196e-06,1.5537289844227818e-06,11.40175912991847,0.0002689611088838,3.827655622907221e-06,2.6419640586091686e-20,2.824371175995371e-19,1.6666666666666667,0.0277777777777777
